RegionID,SizeRank,RegionName,RegionType,StateName,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31,2025-02-28,2025-03-31,2025-04-30
102001,0,United States,country,,0.9818181818181818,0.9836990595611286,0.9874843554443054,0.9900990099009901,0.9923076923076923,0.9930715935334873,0.9909242452305983,0.9881656804733728,0.986449864498645,0.9846153846153847,0.9834368530020704,0.9818451278251205,0.9804902451225613,0.9827089337175793,0.985326695201685,0.9879032258064516,0.98989898989899,0.9906542056074766,0.9896551724137931,0.9879210748131355,0.9866220735785953,0.9856733524355301,0.9850746268656716,0.9837432263443101,0.9818199669453944,0.9847668872134174,0.9891086908201823,0.9924812030075187,0.9903225806451613,0.9924385633270322,0.9962894248608535,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0033444816053512,1.0097087378640777,1.0069444444444444,1.0003449465332874,1.0,1.0,1.0,1.0,1.0,1.0,1.0037974683544304,1.0134529147982063,1.0142857142857142,1.006857142857143,1.0,1.0,1.0,0.9938366718027735,0.9894736842105263,0.9856115107913669,0.983206106870229,0.9867437652301503,0.9945491022746844,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9933333333333333,0.9888888888888889,0.9867256637168141,0.9902912621359223,0.9971207758751326,1.0,1.0,1.0,1.0,0.9982688978649741,0.9943396226415094,0.9924812030075187,0.9905660377358491,0.9880239520958084,0.9855072463768116,0.9882032256500113,0.9916201117318436,0.9987484355444305
394913,1,"New York, NY",msa,NY,0.9780907668231612,0.9762086810929609,0.9784735812133072,0.979393238811956,0.9808113226188191,0.9841269841269841,0.9839357429718876,0.983439583121628,0.981275820064242,0.9790209790209791,0.9785714285714285,0.9777777777777777,0.9755796372485829,0.974778605078463,0.9753954305799648,0.9777434422198554,0.9803921568627451,0.9821858878869263,0.9819639278557114,0.9817668756332321,0.979557069846678,0.9785202863961814,0.9782125389061805,0.9789841737210159,0.9770445866284952,0.9759118374554335,0.9793103448275862,0.9835406560935109,0.9820213781598517,0.9821589475581186,0.9872611464968153,0.9928507538972655,0.9975,1.0,1.0,1.0,0.9953956383012947,0.993099309930993,0.9922928709055877,1.0,1.0,1.0,1.0003449465332874,1.0000190479818662,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0008340283569641,1.0081999089097562,1.0143061516452074,1.010752688172043,1.001290322580645,1.0,1.0,1.0,0.998059476755129,0.9892284018465597,0.9871244635193133,0.9941713276736157,1.0,1.0,1.0033993565194286,1.0096806763892787,1.005753747550188,1.0025062656641603,1.0000038461686391,1.0,1.0,1.0,1.0,1.0,1.0002632271650433,1.0061349693251533,1.0135601626525457,1.011764705882353,1.0081466733034676,1.0006671114076051,1.0000024695272178,1.0000014285734693,1.0,1.0,1.0,1.0,1.0004257130693912
753899,2,"Los Angeles, CA",msa,CA,0.9976726206144474,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9968326018808777,0.9937652671277732,0.992,0.9912094574113368,0.9886193815381078,0.9911504424778761,0.9920382165605095,0.9945945945945946,0.9962332770489674,0.9974320854169483,0.9952885747938751,0.9957249466950959,0.9946914328875839,0.9943788627545151,0.9966677102706558,0.9944716116139649,0.9937185929648241,1.0,1.0,1.0,1.0,0.9989324818971224,1.0,1.0,1.0,1.000016666944449,1.000243961941937,1.0001695202576708,1.00011790863765,1.0013223966042113,1.0125,1.0208333333333333,1.0258481421647818,1.02950700914869,1.030013120425209,1.022606823606496,1.0171471927162368,1.0168022402987065,1.0172143974960877,1.018181818181818,1.0178046288355453,1.0315789473684212,1.0452321129456807,1.0494733260945641,1.0404169945087738,1.025,1.005,1.0,1.0,0.9956411182043877,0.993230392970626,0.9888517279821628,0.9869130100076983,0.9928286124079291,1.0,1.0,1.0017574692442883,1.0066666666666666,1.0070052754263281,1.0074074074074073,1.0009532888465205,1.0000833402783564,1.0,1.0,1.0,1.0,1.0002548523424886,1.0040692138924534,1.0064075368618124,1.0029226756614262,1.000202282130301,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
394463,3,"Chicago, IL",msa,IL,0.97120473113035,0.9722874589008924,0.9761928576191429,0.9793707022296312,0.9811320754716981,0.9811320754716981,0.9803921568627451,0.9789075175770687,0.9769230769230769,0.975975975975976,0.9736026665042131,0.9719733038371726,0.970970970970971,0.9733908956953321,0.9772727272727273,0.9789473684210527,0.9807692307692307,0.9806013396553022,0.979381443298969,0.9785714285714285,0.9777171441564347,0.9764855322884949,0.9754064193413923,0.9730250481695568,0.9715797259518347,0.9733968726480975,0.9786739528472316,0.9803921568627451,0.9777728373104095,0.9800957577265794,0.9833841980332316,0.9841269841269841,0.9854440269544744,0.9857142857142858,0.9856706313618562,0.9848785648121174,0.984,0.9836612204068023,0.9911111111111112,1.0,1.0,1.0001428775539363,1.0,1.0,1.0,1.0,0.9942857142857143,0.993566833452466,0.9884019848149699,1.0,1.0,1.0005885815185402,1.0054054054054054,1.0045454545454546,1.0,1.0,0.9938444176522127,0.989547475114835,0.9867828627938041,0.9829867674858223,0.98125,0.9857142857142858,1.0,1.0,1.0,1.0002857959416975,1.000100010001,1.0,1.0,1.0,1.0,0.9915611814345991,0.9895397489539749,0.995475113122172,1.0,1.0,1.0000703753364282,1.0002857959416975,1.0,1.0,1.0,1.0,0.9952568428946382,0.9892800462837296,0.9882352941176471,0.9956298936915144,1.0,1.0
394514,4,"Dallas, TX",msa,TX,0.9877469367341836,0.9924202476942697,0.9968196169379602,1.0,1.0,1.0,0.9985815602836879,0.9917765432290434,0.9900044550202951,0.9885386819484241,0.9874476987447699,0.9853874119901328,0.9841402226723328,0.9872340425531915,0.9899749373433584,0.9916666666666667,0.9919354838709677,0.9908675799086758,0.990909090909091,0.9888888888888889,0.9868922355521521,0.9874249785653044,0.9876923076923076,0.9858442871587462,0.9857142857142858,0.9875483039931301,0.990765679107349,0.9942857142857143,0.9926854754440961,0.995407571443636,0.9983993597438976,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.004452440961559,1.0219405220367994,1.032258064516129,1.036764705882353,1.0315186246418337,1.0222222222222221,1.0116279069767442,1.0072463768115942,1.007843137254902,1.0092145677928916,1.0096002864790552,1.0238095238095237,1.0452798548783446,1.0540635502076248,1.05,1.0307692307692307,1.0074398891404581,1.0,0.9971383101562237,0.9915198956294846,0.9874467450459526,0.9848484848484849,0.9821162046908316,0.9862541332073689,0.9968652037617555,1.0,1.0,1.0,1.0,0.9975078983275896,0.9924182705537783,0.9899749373433584,0.987012987012987,0.9852992327365729,0.9848484848484849,0.9881831352219371,0.9950304367875054,0.9966666666666667,0.9988118380581834,0.9934728114213895,0.9907720692591542,0.9871244635193133,0.9866666666666667,0.9857533458051518,0.9841269841269841,0.983739837398374,0.9821428571428571,0.9848484848484849,0.9874869650449216,0.9899749373433584
394692,5,"Houston, TX",msa,TX,0.975609756097561,0.9771428571428571,0.978448275862069,0.9818181818181818,0.9818165286250393,0.9823529411764705,0.9815024537561344,0.9810985098841931,0.9791666666666666,0.9785025945144552,0.9782608695652174,0.9777777777777777,0.9766341141094057,0.978391356542617,0.9797752808988764,0.9817351598173516,0.9830976198689203,0.9830921503150098,0.9836612204068023,0.9809285660160859,0.980326775591864,0.979761396610228,0.9805384924906685,0.9793510324483776,0.9782016348773842,0.9799270072992701,0.9824937477670597,0.9846153846153847,0.9830976198689203,0.9843147859468286,0.9859154929577465,0.9864864864864865,0.9866313492892977,0.987408170815496,0.9876859928168291,0.9866911427260211,0.9866198134883092,0.9894312169312169,0.9961163730694981,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0014633581314492,1.006060606060606,1.000010000100001,1.0,1.0,0.9888579387186629,0.9859959988568162,0.9827866945801349,0.9806669095637589,0.97890625,0.9814814814814815,0.9848484848484849,0.9916546762589928,0.9920132270193871,0.9919919839679359,,,0.9844425908390109,0.9837878181870126,0.9823529411764705,0.9792455797289721,0.9789156626506024,0.9821766357061211,0.9838816445064488,0.9868434037430291,0.9877469367341836,0.9871794871794872,0.9855437518800564,0.9839506172839506,0.981651376146789,0.9820988668089998,0.982089552238806,0.9803921568627451,0.9779411764705882,0.9812792056074766,0.9826244260884498,0.984649048981653
395209,6,"Washington, DC",msa,VA,0.993355408388521,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9972036997203699,0.994277539341917,0.9930588572284351,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9966654316413487,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000151538111835,1.0112359550561798,1.0177975528364849,1.02326560690599,1.0188679245283019,1.01,1.000250062515629,1.0,1.0,1.0,1.0,1.0,1.00658547229302,1.0208333333333333,1.0263157894736843,1.0222222222222221,1.008501416902817,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0002857959416975,1.0075273623537022,1.0046332737030412,1.0002273243919073,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.001016446513976,1.0083420320111343,1.0091480846197827,1.0018214936247722,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
394974,7,"Philadelphia, PA",msa,PA,0.9785025945144552,0.98,0.9845758354755784,0.9855383708329599,0.99,0.9903961584633854,0.9882685143440192,0.9863013698630136,0.9846153846153847,0.9830508474576272,0.9811320754716981,0.9812285835293998,0.9792709077912795,0.9791400595998297,0.9839625775615402,0.9871285495364073,0.9903961584633854,0.9930883957802837,0.9909031800449226,0.9871588268602037,0.9849784614606525,0.9857142857142858,0.9855383708329599,0.9840425531914894,0.9791666666666666,0.9838350055741361,0.9894385769872152,0.994569877107745,0.9913695096517225,0.9946802490096208,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0003847633705272,1.008695652173913,1.0083333333333333,1.0003172421037205,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0141254901960783,1.018895887365691,1.0175240248728095,1.0034013605442176,1.0,1.0,1.0,1.0,1.0,0.9904761904761905,1.0,1.0,1.0,1.0,1.0004168403501459,1.0005722229438172,1.0000057143183676,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000250062515629,1.0003705075954057,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
394856,8,"Miami, FL",msa,FL,0.9613636363636363,0.9636363636363636,0.9655172413793104,0.9653902798232695,0.9656897608828939,0.9666666666666667,0.9663865546218487,0.967741935483871,0.9688888888888889,0.9663153826040495,0.9655172413793104,0.9656804733727811,0.9627906976744186,0.9649749821300929,0.9656259052789069,0.9655172413793104,0.9670781893004116,0.967741935483871,0.9684491097510324,0.9681093394077449,0.9659574468085106,0.969047619047619,0.967741935483871,0.9663865546218487,0.9649329253942104,0.9666666666666667,0.9684088446689354,0.9701940388077616,0.965,0.9682080924855492,0.9706562131786458,0.9712781169224001,0.9712230215827338,0.9714726291441789,0.9729036950999889,0.9708333333333333,0.9714285714285714,0.9713334036528943,0.9742120343839542,0.9769230769230769,0.9807742603872707,0.9857142857142858,0.9891891891891892,0.9888888888888889,0.9879309986058222,0.9866666666666667,0.986159169550173,0.989159891598916,0.9875,0.9955238739162298,1.0,1.0,1.0,1.0,1.0,0.9869872130814066,0.9814814814814815,0.9782608695652174,0.9728033472803347,0.9721229449606862,0.9682973864782801,0.970873786407767,0.9726443768996961,0.9724576919233836,0.9737263042622755,0.9746835443037974,0.9773678831948424,0.9759838126226434,0.9779676061567817,0.9741379310344828,0.9727290413255297,0.9698996655518395,0.9672131147540983,0.9696969696969697,0.9702660406885759,0.968421052631579,0.9695652173913043,0.9695290858725761,0.97000194000388,0.9703058825195825,0.9688685656219238,0.967741935483871,0.9675675675675676,0.9655172413793104,0.9612817089452603,0.9642857142857143,0.9660194174757282,0.9652509652509652
394347,9,"Atlanta, GA",msa,GA,0.9814298664853955,0.9853637391813382,0.9888312706601445,0.9934879061113497,0.9955377750423142,0.9940476190476191,0.992,0.9884624868391276,0.9883542478621496,0.9863851069741595,0.9851236856728105,0.9846153846153847,0.9837837837837838,0.9856835783880447,0.9882352941176471,0.9898669678553781,0.9917579494431188,0.9906738188204199,0.9907235621521335,0.9885057471264368,0.9871559633027523,0.9849184364419822,0.9859649122807017,0.9859154929577465,0.9826989619377162,0.9864376587966984,0.9901960784313726,0.9953596037898363,0.9939959973315544,0.9929078014184397,0.995744228061199,0.9963503649635036,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.004,1.0106382978723405,1.0131147540983607,1.0127531882970742,1.008,1.0005265929436546,1.0002299379167625,1.0003175611305177,1.0002857959416975,1.0,1.0047678584959785,1.0153846153846153,1.0227440640564778,1.024,1.0153846153846153,1.0002857959416975,1.0,1.0,0.9922209874583268,0.9891086908201823,0.9871244635193133,0.985831039760599,0.9912763925235096,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9951965869829624,0.9912280701754386,0.9886792452830189,0.995,1.0,1.0,1.0,1.0,1.0,0.9930680942743357,0.9917772626291896,0.9895833333333334,0.9902912621359223,0.9885222145374304,0.9866666666666667,0.9889478580203905,0.992306212733218,0.9973153153153154
